subject	value_3t	value_7t
sub-69577	4.78061326147355	2.13299280721734
sub-69881	4.92907018015307	1.87682384094178
sub-69988	5.18631776589429	2.46661287697446
sub-70695	5.08699100845049	2.54071623092902
sub-71473	5.75489559017938	2.87933240491743
sub-71675	5.11110306296829	2.39469399877486
sub-72337	5.62933116429033	2.26812596134802
sub-72753	5.12846647647654	2.23979059159954
sub-72783	4.35808109996231	1.79752299779925
sub-73121	4.69612179373841	1.78593949135604
sub-73378	5.80533816608723	2.43465553421232
sub-73512	5.57514033836601	2.258868710028
sub-74182	4.99903574706467	1.92095190997854
sub-74193	4.95832829608214	2.36504613906732
sub-74516	4.59224361865803	1.99625074220901
sub-75056	5.55616614784564	2.38080221204674
sub-75861	4.63270815719792	2.28738428380997
sub-76147	4.72563389315268	2.02631667557214
sub-76456	4.89665928703971	2.46015047592757
sub-79577	5.85029643145099	2.62390033195955
sub-80780	5.24056337041692	2.15446679899784
sub-81101	4.33245547287641	1.53014306031893
sub-81668	5.01721151397985	1.98305288837738
sub-82107	5.62666867425752	2.69492100337338
sub-83170	5.06439866702123	2.67965677184166
sub-83997	4.37287900908174	1.49960511949307
sub-84917	5.0305215012375	1.79041739252648
sub-85522	4.53986871430983	1.93028616055372
sub-86202	6.11222368816498	2.50874089112516
sub-86435	5.88030141228811	2.82789284851996
sub-86493	5.44020628866437	2.88835588215073
sub-87034	4.59603188983432	2.00813549258997
sub-87051	5.16785533687445	2.19220279581114
sub-87732	5.40596472959456	2.83360828443992
sub-88141	5.38405968350306	2.26069686246087
sub-88548	4.76781582811441	1.92459743962502
sub-88686	4.6385967417129	1.67383697366725
sub-89034	5.05778329382829	2.23116730605959
sub-89440	5.38953677697287	2.55732755400723
sub-89448	5.12471562860318	1.93835850268524
sub-91179	4.70963872864772	2.18030971418572
sub-92438	5.39979145083108	2.43778275559369
sub-92635	4.85015324088219	2.60438727191654
sub-93064	5.22018124642817	2.04076480335229
sub-93112	5.01166571418678	2.26630159135282
sub-93729	5.55524384151986	2.48067183455728
sub-95017	4.55152906564288	1.51591752218955
sub-95488	4.56457916026688	1.81962941437136
sub-95862	4.90524209380609	1.89362268998717
sub-95985	5.54583104879103	2.44084564144936
sub-97902	5.35104025500772	2.37002154957748
