subject	value_3t	value_7t
sub-38989	24.252082824707	23.4172526580514
sub-39332	27.1635608673096	26.7637555003166
sub-39546	20.7594909667969	15.073352684034
sub-40079	26.0467433929443	19.0966492936714
sub-42086	26.2966861724854	20.8274094434455
sub-42863	19.9656257629395	19.3531076686922
sub-43240	23.9494171142578	22.3452407866716
sub-43425	20.0068912506104	15.2397390664555
sub-43766	19.6501083374023	15.905230563134
sub-45148	26.3633728027344	26.6552883777767
sub-45644	25.3250904083252	18.6156658020336
sub-46263	27.8182411193848	26.8244445025921
sub-47050	24.5652084350586	20.0017896699719
sub-47206	27.9557189941406	22.2755815922283
sub-47379	22.0874004364014	19.5221850662492
sub-47803	23.4566345214844	25.069195330143
sub-49618	30.284236907959	24.3581567108631
sub-50530	23.4638366699219	17.0226382836699
sub-51896	20.3671493530273	24.1408570110798
sub-52789	31.7014446258545	21.6666484088637
sub-52967	21.6897850036621	25.0382744595408
sub-53679	23.0288600921631	19.8488322494086
sub-53696	32.4114990234375	21.9901156540727
sub-54552	19.0906066894531	10.5564267463051
sub-57198	24.9881210327148	21.9195537074702
sub-60324	27.3312377929688	19.419512975961
sub-61696	23.0060882568359	22.7330226688646
sub-61880	22.7181816101074	12.0894945904147
sub-62452	25.7674598693848	29.993185043335
sub-62533	21.5896778106689	20.7385172992945
sub-63392	30.2762184143066	21.759736623615
sub-64564	30.2555332183838	25.1947243325412
sub-64907	19.2574195861816	14.8728296902555
sub-64927	27.584529876709	26.5354346283711
sub-64988	22.5897407531738	19.9977044078987
sub-65969	18.4810466766357	18.8200674718246
sub-66055	22.4574394226074	18.8498450219631
sub-67613	32.9135437011719	28.7151412218809
sub-67731	26.4240398406982	20.7223241068423
sub-68443	35.0827941894531	26.1325090564787
sub-69577	27.5222339630127	21.0515461653704
sub-69881	20.8306102752686	16.1031858786009
sub-69988	27.0247325897217	28.8382860869169
sub-70695	30.6957359313965	26.9763932945207
sub-71473	25.8428707122803	22.5509134126478
sub-71675	29.4844551086426	20.6633064448833
sub-72337	32.6817817687988	22.2137363180518
sub-72753	33.3160514831543	27.2565126530826
sub-72783	28.9823360443115	23.4336792975664
sub-73121	22.9160289764404	22.232085943222
